u.screen_name,u.retweet_count,u.fav_count,u.followers,u.InfluenceScore,Rank,fav per retweet,retweet per follow,,dissemination rank,rank difference,% wrong,abs val,,avg error
Abdelaziz848,123095,108256,146,110.019699,1,0.879450831,843.1164384,843.9958892,1,0,0,0,,0.233705369
Tre_Hart10,9431,11923,21,8.765736649,37,1.26423497,449.0952381,450.3594731,2,35,0.044929397,0.044929397,,
Markbono1,6373,16743,20,6.726569128,46,2.627177154,318.65,321.2771772,3,43,0.055198973,0.055198973,,
JordynAndreax,11609,15322,42,10.85528043,30,1.319838057,276.4047619,277.7246,4,26,0.033376123,0.033376123,,
DeatheTrap,58937,83445,265,55.62845357,4,1.415833856,222.4037736,223.8196074,5,-1,-0.001283697,0.001283697,,
maryuhmm,7708,5623,35,6.785771905,45,0.729501816,220.2285714,220.9580732,6,39,0.050064185,0.050064185,,
StaceyT41045985,8815,19956,54,9.011930849,35,2.263868406,163.2407407,165.5046091,7,28,0.035943517,0.035943517,,
StoolBlock,58955,83480,386,55.65384149,3,1.415995251,152.7331606,154.1491559,8,-5,-0.006418485,0.006418485,,
lasannah,16495,17382,112,15.02000374,24,1.053773871,147.2767857,148.3305596,9,15,0.019255456,0.019255456,,
karly_page,16794,29986,118,16.43002654,20,1.785518638,142.3220339,144.1075525,10,10,0.01283697,0.01283697,,
